#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1439 VPUNPCKHDQ                   185                0
1440 VPUNPCKHQDQ                  185                0
1443 VPUNPCKLDQ                   187                0
1444 VPUNPCKLQDQ                  186                0
1446 VPXOR                      10515                0
1505 VSHUFPD                     2366                0
1506 VSHUFPS                     2928                0
1509 VSQRTSD                        2                0
1511 VSTMXCSR                      14                0
1512 VSUBPD                       176                0
1513 VSUBPS                      2448                0
1514 VSUBSD                      1873                0
1518 VUCOMISD                     440                0
1520 VUNPCKHPD                    158                0
1522 VUNPCKLPD                    196                0
1524 VXORPD                      1134                0
1525 VXORPS                       388                0
1526 VZEROALL                    1731                0
1527 VZEROUPPER                   686                0
1533 WRPKRU                         1                0
1538 XABORT                         6                0
1540 XADD_LOCK                    173                0
1541 XBEGIN                         5                0
1542 XCHG                         205                0
1543 XEND                           2                0
1544 XGETBV                         5                0
1545 XLAT                           1                0
1546 XOR                       377844                0
1547 XORPD                      11592                0
1548 XORPS                      26339                0
3000 *total                  15587936                0
3001 *mem-atomic                 4027                0
3002 *stack-read              1801000              671
3003 *stack-write             2202954                0
3004 *iprel-read               206832               37
3005 *iprel-write                8845                0
3007 *mem-read-1                83528             2612
3008 *mem-read-2                25804               42
3010 *mem-read-4               783990             1613
3014 *mem-read-8              2460991              529
3016 *mem-read-10                1959                0
3022 *mem-read-16              365429                0
3026 *mem-read-20                   8                0
3034 *mem-read-28                  17                0
3038 *mem-read-32               12027                0
3070 *mem-read-64               34485                0
3519 *mem-write-1               53360              305
3520 *mem-write-2               12530                0
3522 *mem-write-4              541404              247
3526 *mem-write-8             2255583             1279
3528 *mem-write-10               1161                0
3534 *mem-write-16              83084                0
3546 *mem-write-28                 17                0
3550 *mem-write-32               2054                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                            4                0
   8 ADD                      9635743                0
  11 ADDSD                        878                0
  12 ADDSS                        439                0
  15 ADD_LOCK                     486                0
  23 AND                      8776030                0
  25 ANDNPD                         2                0
  27 ANDPD                        235                0
  55 BSF                      1068462                0
  56 BSR                          350                0
  57 BSWAP                       8118                0
  58 BT                           281                0
  64 BTS_LOCK                       3                0
  67 CALL_NEAR                3546037                0
  70 CDQE                      307545                0
  83 CMOVB                          0            73107
  84 CMOVBE                         0            17674
  85 CMOVL                          0              101
  86 CMOVLE                         0               15
  87 CMOVNB                         0             2164
  88 CMOVNBE                        0           125635
  89 CMOVNL                         0             3708
  90 CMOVNLE                        0             7948
  93 CMOVNS                         0               99
  94 CMOVNZ                         0             4738
  97 CMOVS                          0              197
  98 CMOVZ                          0           134600
  99 CMP                     17861071                0
 102 CMPSB                          0               55
 108 CMPXCHG                       41                0
 113 CMPXCHG_LOCK              136259                0
 116 CPUID                         51                0
 117 CQO                            2                0
 130 CVTSD2SS                     248                0
 132 CVTSI2SS                     344                0
 133 CVTSS2SD                     279                0
 134 CVTSS2SI                   86016                0
 145 DEC                           38                0
 146 DEC_LOCK                   91355                0
 147 DIV                       130556                0
 150 DIVSD                        248                0
 151 DIVSS                         31                0
 269 IDIV                           2                0
 270 IMUL                       17792                0
 272 INC                           10                0
 275 INC_LOCK                       3                0
 294 JB                       1006769                0
 295 JBE                      2734513                0
 298 JL                        208185                0
 299 JLE                       278962                0
 300 JMP                      3218902                0
 302 JNB                       874517                0
 303 JNBE                     3537217                0
 304 JNL                       223825                0
 305 JNLE                      189110                0
 308 JNS                        14895                0
 309 JNZ                     12488845                0
 310 JO                            90                0
 311 JP                            64                0
 313 JS                        104249                0
 314 JZ                      19481817                0
 371 LEA                      5064959                0
 372 LEAVE                        187                0
 374 LFENCE                         1                0
 401 MFENCE                        99                0
 408 MOV                     70419400                0
 409 MOVAPD                      1170                0
 410 MOVAPS                     63280                0
 411 MOVBE                      13776                0
 412 MOVD                        1641                0
 415 MOVDQA                    582763                0
 416 MOVDQU                     90184                0
 418 MOVHPD                   1613642                0
 419 MOVHPS                     28812                0
 421 MOVLPD                   1613642                0
 433 MOVQ                       29057                0
 435 MOVSB                          0           369420
 437 MOVSD_XMM                   4368                0
 440 MOVSQ                          0               26
 441 MOVSS                     190624                0
 443 MOVSX                     516590                0
 444 MOVSXD                    903751                0
 446 MOVUPS                     44374                0
 447 MOVZX                    5886174                0
 451 MUL                          181                0
 454 MULSD                       2191                0
 455 MULSS                     172664                0
 459 NEG                       475735                0
 461 NOP                      1131342                0
 470 NOT                        14494                0
 472 OR                        586149                0
 473 ORPD                          90                0
 475 OR_LOCK                        6                0
 488 PADDD                         62                0
 489 PADDQ                        125                0
 505 PCMPEQB                  2187461                0
 506 PCMPEQD                        1                0
 512 PCMPGTD                       31                0
 568 PMINUB                     28622                0
 571 PMOVMSKB                 1095275                0
 592 POP                      3992426                0
 595 POPCNT                         1                0
 599 POR                        29759                0
 610 PSHUFD                      1610                0
 617 PSLLD                         31                0
 618 PSLLDQ                    249377                0
 619 PSLLQ                         62                0
 624 PSRLDQ                     28094                0
 627 PSUBB                    1061883                0
