#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
  83 CMOVB                          0            73744
  84 CMOVBE                         0            18403
  85 CMOVL                          0              116
  86 CMOVLE                         0               39
  87 CMOVNB                         0             2269
  88 CMOVNBE                        0           128423
  89 CMOVNL                         0             3891
  90 CMOVNLE                        0             8120
  93 CMOVNS                         0              113
  94 CMOVNZ                         0            14138
  97 CMOVS                          0              223
  98 CMOVZ                          0           140785
  99 CMP                     25881766                0
 102 CMPSB                          0             2564
 104 CMPSD_XMM                  98304                0
 106 CMPSS                      65544                0
 108 CMPXCHG                       38                0
 113 CMPXCHG_LOCK              140480                0
 116 CPUID                         51                0
 117 CQO                            2                0
 130 CVTSD2SS                   66305                0
 131 CVTSI2SD                  327693                0
 132 CVTSI2SS                   74593                0
 133 CVTSS2SD                  131879                0
 134 CVTSS2SI                   86016                0
 139 CVTTSD2SI                 196608                0
 140 CVTTSS2SI                 131088                0
 145 DEC                          762                0
 146 DEC_LOCK                   91784                0
 147 DIV                       194889                0
 150 DIVSD                    1309919                0
 151 DIVSS                       8224                0
 269 IDIV                           2                0
 270 IMUL                       29282                0
 272 INC                         2684                0
 275 INC_LOCK                       4                0
 294 JB                       1210745                0
 295 JBE                      4034249                0
 298 JL                        209790                0
 299 JLE                       287472                0
 300 JMP                      4489880                0
 302 JNB                       918725                0
 303 JNBE                     6205580                0
 304 JNL                       224702                0
 305 JNLE                     1670500                0
 308 JNS                        15738                0
 309 JNZ                     17942426                0
 310 JO                            90                0
 311 JP                        372258                0
 313 JS                        108934                0
 314 JZ                      28894912                0
 371 LEA                      7019988                0
 372 LEAVE                        242                0
 374 LFENCE                         5                0
 401 MFENCE                        98                0
 408 MOV                     98745779                0
 409 MOVAPD                   4193414                0
 410 MOVAPS                    632187                0
 411 MOVBE                      13868                0
 412 MOVD                        2628                0
 415 MOVDQA                    846933                0
 416 MOVDQU                     98759                0
 418 MOVHPD                   2331708                0
 419 MOVHPS                     32655                0
 421 MOVLPD                   2331708                0
 433 MOVQ                       32928                0
 435 MOVSB                          0           442013
 437 MOVSD_XMM                3379608                0
 440 MOVSQ                          0               26
 441 MOVSS                     805612                0
